assembly_id	taxid	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund	num_SCG_hits_after_len_filt	in_final_tree
119648.assembled	NA	57	56	75.00	1.32	53	Yes
129976.assembled	NA	48	43	63.16	6.58	45	Yes
192056.assembled	NA	47	46	61.84	1.32	42	Yes
192057.assembled	NA	39	38	51.32	1.32	31	Yes
192058.assembled	NA	50	50	65.79	0.00	44	Yes
2264265188	NA	30	30	39.47	0.00	27	Yes
2264867070	NA	51	50	67.11	1.32	48	Yes
90219.assembled	NA	57	56	75.00	1.32	54	Yes
AMAL10_bin.15.permissive.fa	NA	57	55	75.00	2.63	43	Yes
AMAL10_bin.65.orig.fa	NA	36	33	47.37	3.95	26	Yes
AMAL11_bin.13.orig.fa	NA	51	45	67.11	10.53	46	Yes
AMAL11_bin.21.orig.fa	NA	57	57	75.00	0.00	45	Yes
AMAL11_bin.25.orig.fa	NA	51	51	67.11	0.00	47	Yes
AMAL11_bin.39.orig.fa	NA	63	56	82.89	9.21	51	Yes
AMAL11_bin.75.orig.fa	NA	68	63	89.47	6.58	58	Yes
AMAL15_bin.11.permissive.fa	NA	42	40	55.26	2.63	34	Yes
AMAL15_bin.2.orig.fa	NA	59	57	77.63	2.63	48	Yes
AMAL20_bin.39.permissive.fa	NA	45	42	59.21	3.95	42	Yes
AMAL2_bin.101.strict.fa	NA	64	63	84.21	1.32	54	Yes
AMAL2_bin.76.strict.fa	NA	51	51	67.11	0.00	40	Yes
AMAL2_bin.86.orig.fa	NA	55	53	72.37	2.63	52	Yes
AMAL2_bin.8.strict.fa	NA	42	41	55.26	1.32	38	Yes
AMAL3_bin.14.orig.fa	NA	55	53	72.37	2.63	50	Yes
AMAL3_bin.24.orig.fa	NA	59	59	77.63	0.00	45	Yes
AMAL3_bin.31.strict.fa	NA	72	67	94.74	6.58	65	Yes
AMAL3_bin.36.orig.fa	NA	59	50	77.63	13.16	50	Yes
AMAL3_bin.54.permissive.fa	NA	55	53	72.37	2.63	52	Yes
AMAL7_bin.25.orig.fa	NA	54	53	71.05	1.32	43	Yes
AMAL7_bin.33.orig.fa	NA	55	51	72.37	5.26	49	Yes
AMAL7_bin.40.orig.fa	NA	62	55	81.58	9.21	52	Yes
AMAL7_bin.50.strict.fa	NA	42	42	55.26	0.00	33	Yes
AMAL7_bin.5.orig.fa	NA	48	42	63.16	7.89	36	Yes
AMAL7_bin.72.strict.fa	NA	55	53	72.37	2.63	52	Yes
AMAL7_bin.89.orig.fa	NA	64	57	84.21	9.21	55	Yes
AMAL8_bin.10.permissive.fa	NA	55	53	72.37	2.63	52	Yes
AMAL8_bin.19.orig.fa	NA	46	43	60.53	3.95	42	Yes
AMAL8_bin.25.permissive.fa	NA	71	67	93.42	5.26	63	Yes
AMAL8_bin.29.orig.fa	NA	44	40	57.89	5.26	39	Yes
Fuchsman_bin.23.orig.fa	NA	46	45	60.53	1.32	37	Yes
Fuchsman_bin.26.orig.fa	NA	64	62	84.21	2.63	50	Yes
Fuchsman_bin.61.orig.fa	NA	68	67	89.47	1.32	58	Yes
Ga0376201_contigs	NA	35	34	46.05	1.32	35	Yes
GCA_000008085.1_ASM808v1_genomic	NA	59	59	77.63	0.00	56	Yes
GCA_000387965.1_Nst1_genomic	NA	54	53	71.05	1.32	51	Yes
GCA_000402355.1_ASM40235v1_genomic	NA	69	68	90.79	1.32	55	Yes
GCA_001723835.1_ASM172383v1_genomic	NA	50	45	65.79	6.58	43	Yes
GCA_001723845.1_ASM172384v1_genomic	NA	59	58	77.63	1.32	50	Yes
GCA_001723855.1_ASM172385v1_genomic	NA	59	56	77.63	3.95	45	Yes
GCA_001742785.1_ASM174278v1_genomic	NA	70	66	92.11	5.26	61	Yes
GCA_001786395.1_ASM178639v1_genomic	NA	46	44	60.53	5.26	42	Yes
GCA_001786425.1_ASM178642v1_genomic	NA	41	40	53.95	1.32	35	Yes
GCA_001787285.1_ASM178728v1_genomic	NA	49	47	64.47	2.63	45	Yes
GCA_001872185.1_ASM187218v1_genomic	NA	44	44	57.89	0.00	42	Yes
GCA_001872325.1_ASM187232v1_genomic	NA	46	45	60.53	1.32	42	Yes
GCA_002083985.1_ASM208398v1_genomic	NA	63	63	82.89	0.00	54	Yes
GCA_002254395.1_ASM225439v1_genomic	NA	38	38	50.00	0.00	37	Yes
GCA_002254405.1_ASM225440v1_genomic	NA	51	50	67.11	1.32	41	Yes
GCA_002254495.1_ASM225449v1_genomic	NA	41	40	53.95	1.32	37	Yes
GCA_002254565.1_ASM225456v1_genomic	NA	74	72	97.37	2.63	66	Yes
GCA_002254805.1_ASM225480v1_genomic	NA	36	36	47.37	0.00	32	Yes
GCA_002254945.1_ASM225494v1_genomic	NA	61	57	80.26	6.58	52	Yes
GCA_002496015.1_ASM249601v1_genomic	NA	46	45	60.53	1.32	44	Yes
GCA_002497285.1_ASM249728v1_genomic	NA	48	48	63.16	0.00	45	Yes
GCA_002499185.1_ASM249918v1_genomic	NA	52	50	68.42	2.63	50	Yes
GCA_002686195.1_ASM268619v1_genomic	NA	41	38	53.95	3.95	38	Yes
GCA_002686355.1_ASM268635v1_genomic	NA	46	45	60.53	1.32	41	Yes
GCA_002687255.1_ASM268725v1_genomic	NA	41	41	53.95	0.00	35	Yes
GCA_002687825.1_ASM268782v1_genomic	NA	52	51	68.42	1.32	50	Yes
